🔄	:arrows_counterclockwise:	#sync	anticlockwise_downwards_and_upwards_open_circle_arrows
◀️	:arrow_backward:	-	black_left-pointing_triangle
▶️	:arrow_forward:	-	black_right-pointing_triangle
🔼	:arrow_up_small:	-	up-pointing_small_red_triangle
🔽	:arrow_down_small:	-	down-pointing_small_red_triangle
↩️	:leftwards_arrow_with_hook:	#return	leftwards_arrow_with_hook
↪️	:arrow_right_hook:	-	rightwards_arrow_with_hook
ℹ️	:information_source:	-	information_source
⏪	:rewind:	-	black_left-pointing_double_triangle
⏩	:fast_forward:	-	black_right-pointing_double_triangle
⏫	:arrow_double_up:	-	black_up-pointing_double_triangle
⏬	:arrow_double_down:	-	black_down-pointing_double_triangle
⤵️	:arrow_heading_down:	-	arrow_pointing_rightwards_then_curving_downwards
⤴️	:arrow_heading_up:	-	arrow_pointing_rightwards_then_curving_upwards
🆗	:ok:	#yes	squared_ok
🔀	:twisted_rightwards_arrows:	#shuffle	twisted_rightwards_arrows
🔁	:repeat:	#loop	clockwise_rightwards_and_leftwards_open_circle_arrows
🔂	:repeat_one:	-	clockwise_rightwards_and_leftwards_open_circle_arrows_with_circled_one_overlay
🆕	:new:	#fresh	squared_new
🆙	:up:	-	squared_up_with_exclamation_mark
🆒	:cool:	-	squared_cool
🆓	:free:	-	squared_free
🆖	:ng:	-	squared_ng
📶	:signal_strength:	#wifi	antenna_with_bars
🎦	:cinema:	#film,#movie	cinema
🈁	:koko:	-	squared_katakana_koko
🈯	:u6307:	-	squared_cjk_unified_ideograph-6307
🈳	:u7a7a:	-	squared_cjk_unified_ideograph-7a7a
🈵	:u6e80:	-	squared_cjk_unified_ideograph-6e80
🈴	:u5408:	-	squared_cjk_unified_ideograph-5408
🈲	:u7981:	-	squared_cjk_unified_ideograph-7981
🉐	:ideograph_advantage:	-	circled_ideograph_advantage
🈹	:u5272:	-	squared_cjk_unified_ideograph-5272
🈺	:u55b6:	-	squared_cjk_unified_ideograph-55b6
🈶	:u6709:	-	squared_cjk_unified_ideograph-6709
🈚	:u7121:	-	squared_cjk_unified_ideograph-7121
🚻	:restroom:	#toilet	restroom
🚹	:mens:	-	mens_symbol
🚺	:womens:	-	womens_symbol
🚼	:baby_symbol:	-	baby_symbol
🚾	:wc:	#toilet,#restroom	water_closet
🚰	:potable_water:	-	potable_water_symbol
🚮	:put_litter_in_its_place:	-	put_litter_in_its_place_symbol
🅿️	:parking:	-	negative_squared_latin_capital_letter_p
♿	:wheelchair:	#accessibility	wheelchair_symbol
🚭	:no_smoking:	-	no_smoking_symbol
🈷️	:u6708:	-	squared_cjk_unified_ideograph-6708
🈸	:u7533:	-	squared_cjk_unified_ideograph-7533
🈂️	:sa:	-	squared_katakana_sa
Ⓜ️	:m:	-	circled_latin_capital_letter_m
🛂	:passport_control:	-	passport_control
🛄	:baggage_claim:	#airport	baggage_claim
🛅	:left_luggage:	-	left_luggage
🛃	:customs:	-	customs
🉑	:accept:	-	circled_ideograph_accept
㊙️	:secret:	-	circled_ideograph_secret
㊗️	:congratulations:	-	circled_ideograph_congratulation
🆑	:cl:	-	squared_cl
🆘	:sos:	#help,#emergency	squared_sos
🆔	:id:	-	squared_id
🚫	:no_entry_sign:	#block,#forbidden	no_entry_sign
🔞	:underage:	-	no_one_under_eighteen_symbol
📵	:no_mobile_phones:	-	no_mobile_phones
🚯	:do_not_litter:	-	do_not_litter_symbol
🚱	:non-potable_water:	-	non-potable_water_symbol
🚳	:no_bicycles:	-	no_bicycles
🚷	:no_pedestrians:	-	no_pedestrians
🚸	:children_crossing:	-	children_crossing
⛔	:no_entry:	#limit	no_entry
✳️	:eight_spoked_asterisk:	-	eight_spoked_asterisk
❇️	:sparkle:	-	sparkle
❎	:negative_squared_cross_mark:	-	negative_squared_cross_mark
✅	:white_check_mark:	-	white_heavy_check_mark
✴️	:eight_pointed_black_star:	-	eight_pointed_black_star
💟	:heart_decoration:	-	heart_decoration
🆚	:vs:	-	squared_vs
📳	:vibration_mode:	-	vibration_mode
📴	:mobile_phone_off:	#mute,#off	mobile_phone_off
🅰️	:a:	-	negative_squared_latin_capital_letter_a
🅱️	:b:	-	negative_squared_latin_capital_letter_b
🆎	:ab:	-	negative_squared_ab
🅾️	:o2:	-	negative_squared_latin_capital_letter_o
💠	:diamond_shape_with_a_dot_inside:	-	diamond_shape_with_a_dot_inside
➿	:loop:	-	double_curly_loop
♻️	:recycle:	#environment,#green	black_universal_recycling_symbol
♈	:aries:	-	aries
♉	:taurus:	-	taurus
♊	:gemini:	-	gemini
♋	:cancer:	-	cancer
♌	:leo:	-	leo
♍	:virgo:	-	virgo
♎	:libra:	-	libra
♏	:scorpius:	-	scorpius
♐	:sagittarius:	-	sagittarius
♑	:capricorn:	-	capricorn
♒	:aquarius:	-	aquarius
♓	:pisces:	-	pisces
⛎	:ophiuchus:	-	ophiuchus
🔯	:six_pointed_star:	-	six_pointed_star_with_middle_dot
🏧	:atm:	-	automated_teller_machine
💹	:chart:	-	chart_with_upwards_trend_and_yen_sign
💲	:heavy_dollar_sign:	-	heavy_dollar_sign
💱	:currency_exchange:	-	currency_exchange
©️	:copyright:	-	copyright_sign
®️	:registered:	-	registered_sign
™️	:tm:	#trademark	trade_mark_sign
❌	:x:	-	cross_mark
‼️	:bangbang:	-	double_exclamation_mark
⁉️	:interrobang:	-	exclamation_question_mark
❗	:exclamation:,:heavy_exclamation_mark:	#bang	heavy_exclamation_mark_symbol
❓	:question:	#confused	black_question_mark_ornament
❕	:grey_exclamation:	-	white_exclamation_mark_ornament
❔	:grey_question:	-	white_question_mark_ornament
⭕	:o:	-	heavy_large_circle
🔝	:top:	-	top_with_upwards_arrow_above
🔚	:end:	-	end_with_leftwards_arrow_above
🔙	:back:	-	back_with_leftwards_arrow_above
🔛	:on:	-	on_with_exclamation_mark_with_left_right_arrow_above
🔜	:soon:	-	soon_with_rightwards_arrow_above
🔃	:arrows_clockwise:	-	clockwise_downwards_and_upwards_open_circle_arrows
🕛	:clock12:	-	clock_face_twelve_oclock
🕧	:clock1230:	-	clock_face_twelve-thirty
🕐	:clock1:	-	clock_face_one_oclock
🕜	:clock130:	-	clock_face_one-thirty
🕑	:clock2:	-	clock_face_two_oclock
🕝	:clock230:	-	clock_face_two-thirty
🕒	:clock3:	-	clock_face_three_oclock
🕞	:clock330:	-	clock_face_three-thirty
🕓	:clock4:	-	clock_face_four_oclock
🕟	:clock430:	-	clock_face_four-thirty
🕔	:clock5:	-	clock_face_five_oclock
🕠	:clock530:	-	clock_face_five-thirty
🕕	:clock6:	-	clock_face_six_oclock
🕖	:clock7:	-	clock_face_seven_oclock
🕗	:clock8:	-	clock_face_eight_oclock
🕘	:clock9:	-	clock_face_nine_oclock
🕙	:clock10:	-	clock_face_ten_oclock
🕚	:clock11:	-	clock_face_eleven_oclock
🕡	:clock630:	-	clock_face_six-thirty
🕢	:clock730:	-	clock_face_seven-thirty
🕣	:clock830:	-	clock_face_eight-thirty
🕤	:clock930:	-	clock_face_nine-thirty
🕥	:clock1030:	-	clock_face_ten-thirty
🕦	:clock1130:	-	clock_face_eleven-thirty
✖️	:heavy_multiplication_x:	-	heavy_multiplication_x
➕	:heavy_plus_sign:	-	heavy_plus_sign
➖	:heavy_minus_sign:	-	heavy_minus_sign
➗	:heavy_division_sign:	-	heavy_division_sign
♠️	:spades:	-	black_spade_suit
♥️	:hearts:	-	black_heart_suit
♣️	:clubs:	-	black_club_suit
♦️	:diamonds:	-	black_diamond_suit
💮	:white_flower:	-	white_flower
💯	:100:	#score,#perfect	hundred_points_symbol
✔️	:heavy_check_mark:	-	heavy_check_mark
☑️	:ballot_box_with_check:	-	ballot_box_with_check
🔘	:radio_button:	-	radio_button
🔗	:link:	-	link_symbol
➰	:curly_loop:	-	curly_loop
〰️	:wavy_dash:	-	wavy_dash
〽️	:part_alternation_mark:	-	part_alternation_mark
🔱	:trident:	-	trident_emblem
◼️	:black_medium_square:	-	black_medium_square
◻️	:white_medium_square:	-	white_medium_square
◾	:black_medium_small_square:	-	black_medium_small_square
◽	:white_medium_small_square:	-	white_medium_small_square
▪️	:black_small_square:	-	black_small_square
▫️	:white_small_square:	-	white_small_square
🔺	:small_red_triangle:	-	up-pointing_red_triangle
🔲	:black_square_button:	-	black_square_button
🔳	:white_square_button:	-	white_square_button
⚫	:black_circle:	-	medium_black_circle
⚪	:white_circle:	-	medium_white_circle
🔴	:red_circle:	-	large_red_circle
🔵	:large_blue_circle:	-	large_blue_circle
🔻	:small_red_triangle_down:	-	down-pointing_red_triangle
⬜	:white_large_square:	-	white_large_square
⬛	:black_large_square:	-	black_large_square
🔶	:large_orange_diamond:	-	large_orange_diamond
🔷	:large_blue_diamond:	-	large_blue_diamond
🔸	:small_orange_diamond:	-	small_orange_diamond
🔹	:small_blue_diamond:	-	small_blue_diamond
-	:basecamp:	-	-
-	:basecampy:	-	-
-	:bowtie:	-	-
-	:feelsgood:	-	-
-	:finnadie:	-	-
-	:fu:	-	-
-	:goberserk:	-	-
-	:godmode:	-	-
-	:hurtrealbad:	-	-
-	:metal:	-	-
-	:neckbeard:	-	-
-	:octocat:	-	-
-	:rage1:	-	-
-	:rage2:	-	-
-	:rage3:	-	-
-	:rage4:	-	-
-	:shipit:,:squirrel:	-	-
-	:suspect:	-	-
-	:taco:	-	-
-	:trollface:	-	-
